current,dateAsString,epoch,rawIntensity,temperature,voltage,pwm
37.5,2024-10-16 09:59:44,1729072784,1011,25,0.86,150
35.8,2024-10-16 10:00:44,1729072844,1004,25,0.9,100
37.7,2024-10-16 10:01:44,1729072904,1016,25,0.892,100
36.8,2024-10-16 10:02:45,1729072965,1010,25,0.892,100
37.1,2024-10-16 10:04:54,1729073094,1010,25,0.896,100
38.2,2024-10-16 10:05:55,1729073155,1008,25,1.196,100
38,2024-10-16 10:06:55,1729073215,1012,25,0,100
37.5,2024-10-16 10:07:56,1729073276,1011,25,0.204,100
37.1,2024-10-16 10:08:56,1729073336,1010,25,0.876,100
36.6,2024-10-16 10:09:56,1729073396,1011,25,0.856,100
36.2,2024-10-16 10:10:57,1729073457,1009,25,1.144,100
36.3,2024-10-16 10:11:57,1729073517,1009,25,1.308,100
37.1,2024-10-16 10:12:57,1729073577,1009,25,1.224,100
35.7,2024-10-16 10:13:57,1729073637,1018,25,1.028,100
34.9,2024-10-16 10:14:58,1729073698,1011,25,0.668,100
36.9,2024-10-16 10:15:58,1729073758,1010,25,0.932,100
35.5,2024-10-16 10:16:58,1729073818,1011,25,0.852,100
36.2,2024-10-16 10:17:58,1729073878,1011,25,0.908,100
35.2,2024-10-16 10:18:59,1729073939,1011,25,0.892,100
36.9,2024-10-16 10:19:59,1729073999,1011,25,0.852,100
35,2024-10-16 10:21:00,1729074060,1011,25,1.4,100
33.4,2024-10-16 10:22:00,1729074120,1009,25,1.192,100
32.2,2024-10-16 10:23:01,1729074181,1011,25,0,100
32.5,2024-10-16 10:24:01,1729074241,1011,25,0.86,100
32.5,2024-10-16 10:25:01,1729074301,1011,25,0.592,100
37.3,2024-10-16 10:26:02,1729074362,1011,25,0.856,100
35.1,2024-10-16 10:27:03,1729074423,1011,25,0.9,100
35.2,2024-10-16 10:28:03,1729074483,1021,25,0,100
35.5,2024-10-16 10:29:03,1729074543,1008,25,1.324,100
34.3,2024-10-16 10:30:02,1729074602,1011,25,0.848,100
33.5,2024-10-16 10:31:03,1729074663,1011,25,0.856,100
32.3,2024-10-16 10:32:03,1729074723,1011,25,0.888,100
32,2024-10-16 10:33:04,1729074784,1011,25,0.88,100
32.6,2024-10-16 10:34:04,1729074844,1010,25,1.088,100
33.9,2024-10-16 10:35:05,1729074905,1011,25,0.852,100
34.4,2024-10-16 10:36:05,1729074965,1011,25,0.852,100
30.5,2024-10-16 10:37:06,1729075026,1011,25,0,100
38.1,2024-10-16 10:38:06,1729075086,1011,25,0.884,100
38.4,2024-10-16 10:39:05,1729075145,1012,25,0.868,100
38.3,2024-10-16 10:40:06,1729075206,1011,25,0.884,100
38,2024-10-16 10:41:06,1729075266,1014,25,0,100
37.9,2024-10-16 10:42:07,1729075327,1010,25,1.112,100
37.8,2024-10-16 10:43:07,1729075387,1010,25,1,100
37.9,2024-10-16 10:44:08,1729075448,1009,25,1.36,100
38,2024-10-16 10:45:08,1729075508,1011,25,0.844,100
37.7,2024-10-16 10:46:09,1729075569,1011,25,0.88,100
36.8,2024-10-16 10:47:09,1729075629,1019,25,0.844,100
37.7,2024-10-16 10:48:09,1729075689,1014,25,0,100
37,2024-10-16 10:49:10,1729075750,1011,25,0.848,100
38,2024-10-16 10:50:11,1729075811,1011,25,0.856,100
37.6,2024-10-16 10:51:11,1729075871,1014,25,0.1,100
37.7,2024-10-16 10:52:11,1729075931,1011,25,0.856,100
37.7,2024-10-16 10:53:11,1729075991,1019,25,0.88,100
36.2,2024-10-16 10:54:11,1729076051,1011,25,0,100
37.8,2024-10-16 10:55:12,1729076112,1014,25,0,100
37.9,2024-10-16 10:56:12,1729076172,1008,25,1.336,100
37.6,2024-10-16 10:57:13,1729076233,1011,25,0.888,100
37.8,2024-10-16 10:58:13,1729076293,1011,25,0.884,100
37.7,2024-10-16 10:59:14,1729076354,1012,25,0.624,100
37.9,2024-10-16 11:00:14,1729076414,1014,25,0.112,80
37.9,2024-10-16 11:01:14,1729076474,1011,25,0.856,80
38.1,2024-10-16 11:02:15,1729076535,1011,25,0.86,80
38,2024-10-16 11:03:15,1729076595,1012,25,0.836,80
37.9,2024-10-16 11:04:16,1729076656,1011,25,0.832,80
36.2,2024-10-16 11:05:16,1729076716,1011,25,0.844,80
38,2024-10-16 11:06:16,1729076776,1021,25,0,80
38,2024-10-16 11:07:17,1729076837,1011,25,0.888,80
37.8,2024-10-16 11:08:18,1729076898,1011,25,0.884,80
37.4,2024-10-16 11:09:19,1729076959,1011,25,0.016,80
37.8,2024-10-16 11:10:20,1729077020,1014,25,0.04,80
37.7,2024-10-16 11:11:20,1729077080,1010,25,0.88,80
37.2,2024-10-16 11:12:21,1729077141,1011,25,0.876,80
37.3,2024-10-16 11:13:21,1729077201,1011,25,0.852,80
37.1,2024-10-16 11:14:21,1729077261,1009,25,1.3,80
